iter	Logloss
0	0.6833172675
1	0.6742943658
2	0.6659269477
3	0.6566185574
4	0.6487138604
5	0.6401952786
6	0.6318492906
7	0.6235396593
8	0.6160336711
9	0.6082144097
10	0.6014098443
11	0.5939833781
12	0.587165134
13	0.5801005724
14	0.5742131212
15	0.5677380032
16	0.5620231527
17	0.5568039347
18	0.5515514798
19	0.54568691
20	0.5407968479
21	0.5362636787
22	0.5314417928
23	0.5266992459
24	0.5213129137
25	0.5168025987
26	0.5125416531
27	0.5079374864
28	0.5036756219
29	0.4989272868
30	0.4950942213
31	0.4905466376
32	0.4861486376
33	0.4826157125
34	0.4790603739
35	0.4753141751
36	0.4723142056
37	0.4683450623
38	0.4655000949
39	0.4622723151
40	0.4589315491
41	0.4555444166
42	0.4526193169
43	0.4499570991
44	0.4472769538
45	0.444417494
46	0.4416425883
47	0.4393145277
48	0.4369294569
49	0.4340014275
50	0.4312980245
51	0.428795183
52	0.4267915921
53	0.4240354479
54	0.4220208944
55	0.4195123834
56	0.4175922004
57	0.4153820835
58	0.4136021695
59	0.4115265028
60	0.4094304708
61	0.4076890462
62	0.4059078301
63	0.4038702596
64	0.4022343784
65	0.4007043559
66	0.3992988654
67	0.3974444411
68	0.3955495911
69	0.3942747023
70	0.392729048
71	0.3914192742
72	0.389887129
73	0.3883475952
74	0.386894711
75	0.38573565
76	0.3845498589
77	0.38334532
78	0.381954149
79	0.3809222175
80	0.3800154656
81	0.3791009793
82	0.3778880717
83	0.3767946438
84	0.3753978509
85	0.3741092156
86	0.3730227763
87	0.3720137973
88	0.3710510525
89	0.3700409376
90	0.3690788303
91	0.3683585273
92	0.3673523729
93	0.3663350525
94	0.365359236
95	0.3644090814
96	0.3636358914
97	0.3630116543
98	0.3622462396
99	0.3613537598
100	0.3604431763
101	0.3597000529
102	0.3592011176
103	0.3583655938
104	0.3577641703
105	0.357038937
106	0.3565132073
107	0.3558063761
108	0.3552813924
109	0.3545177341
110	0.3538794996
111	0.3532269389
112	0.3525120646
113	0.3518169929
114	0.3513538954
115	0.3508065253
116	0.3503165453
117	0.3498450521
118	0.3493739319
119	0.3488876444
120	0.3482930603
121	0.3477018331
122	0.3470684408
123	0.346529046
124	0.3459899801
125	0.345573544
126	0.3450989787
127	0.3446236793
128	0.3442929281
129	0.3439128537
130	0.3434091814
131	0.3430357293
132	0.342759964
133	0.342434355
134	0.3420658908
135	0.3416431274
136	0.3413116591
137	0.340916743
138	0.3405830146
139	0.3401187863
140	0.3397698636
141	0.3394192318
142	0.3390320604
143	0.3386865438
144	0.3383972948
145	0.3380706075
146	0.3376889462
147	0.3373300391
148	0.3370787845
149	0.336742352
150	0.3365217183
151	0.3362405989
152	0.335940762
153	0.3356696472
154	0.3353599565
155	0.3351317902
156	0.3348816986
157	0.3345036011
158	0.3342949558
159	0.333992001
160	0.3337384813
161	0.3334750027
162	0.3332750092
163	0.3329995015
164	0.3326924795
165	0.3324418386
166	0.3321997036
167	0.3320390557
168	0.3318357815
169	0.3315652974
170	0.3312980974
171	0.3310244327
172	0.3307978906
173	0.3305704057
174	0.3303777991
175	0.3301628825
176	0.3299882541
177	0.3297351379
178	0.3295417938
179	0.3293329061
180	0.3290810055
181	0.3288624827
182	0.3285967882
183	0.3284456516
184	0.3283327925
185	0.3281214227
186	0.3279184994
187	0.3277335324
188	0.3275467207
189	0.3273683302
190	0.3271641761
191	0.3270741882
192	0.3269997016
193	0.3267763943
194	0.3266476627
195	0.3265454305
196	0.326408493
197	0.3263187273
198	0.3262140656
199	0.3260375129
200	0.3259132097
201	0.325742057
202	0.3256511959
203	0.3255651279
204	0.3254246284
205	0.3252816366
206	0.3251746623
207	0.3249661814
208	0.3248413103
209	0.3247230309
