iter	Passed	Remaining
0	13	2833
1	25	2666
2	36	2538
3	48	2495
4	60	2470
5	72	2469
6	83	2427
7	95	2405
8	107	2396
9	120	2410
10	133	2418
11	145	2403
12	158	2402
13	171	2402
14	185	2405
15	197	2394
16	210	2393
17	224	2392
18	237	2384
19	251	2388
20	263	2375
21	276	2359
22	289	2349
23	301	2339
24	313	2316
25	325	2301
26	337	2289
27	355	2310
28	367	2293
29	380	2280
30	391	2261
31	403	2242
32	417	2239
33	429	2225
34	442	2211
35	454	2196
36	468	2192
37	481	2178
38	492	2161
39	504	2145
40	517	2132
41	530	2122
42	542	2105
43	554	2092
44	567	2080
45	579	2067
46	591	2052
47	604	2041
48	617	2029
49	629	2015
50	642	2002
51	653	1986
52	665	1970
53	676	1954
54	687	1937
55	701	1928
56	715	1921
57	727	1906
58	739	1891
59	750	1876
60	762	1862
61	773	1846
62	785	1832
63	797	1818
64	808	1804
65	821	1791
66	832	1776
67	845	1764
68	858	1754
69	870	1740
70	882	1728
71	894	1713
72	906	1701
73	918	1687
74	929	1673
75	940	1658
76	954	1648
77	967	1636
78	980	1625
79	993	1614
80	1005	1601
81	1016	1587
82	1028	1573
83	1042	1563
84	1054	1551
85	1066	1537
86	1078	1524
87	1092	1514
88	1107	1506
89	1119	1492
90	1131	1479
91	1143	1467
92	1156	1454
93	1169	1443
94	1181	1430
95	1193	1417
96	1204	1403
97	1215	1388
98	1227	1376
99	1240	1364
100	1252	1351
101	1264	1339
102	1278	1328
103	1292	1317
104	1305	1305
105	1319	1295
106	1334	1284
107	1349	1274
108	1365	1265
109	1377	1252
110	1390	1239
111	1401	1226
112	1415	1215
113	1428	1203
114	1441	1190
115	1453	1178
116	1467	1166
117	1478	1153
118	1492	1141
119	1504	1128
120	1516	1115
121	1527	1101
122	1539	1088
123	1551	1076
124	1563	1063
125	1577	1051
126	1591	1040
127	1604	1027
128	1616	1015
129	1629	1003
130	1644	991
131	1656	978
132	1667	965
133	1678	951
134	1691	939
135	1703	927
136	1714	913
137	1725	900
138	1739	888
139	1749	874
140	1762	862
141	1773	849
142	1786	836
143	1799	824
144	1811	812
145	1825	800
146	1837	787
147	1848	774
148	1859	761
149	1871	748
150	1882	735
151	1894	722
152	1905	710
153	1918	697
154	1929	684
155	1940	671
156	1953	659
157	1966	647
158	1978	634
159	1992	622
160	2003	609
161	2015	597
162	2026	584
163	2037	571
164	2049	558
165	2060	546
166	2072	533
167	2084	521
168	2094	508
169	2107	495
170	2118	483
171	2129	470
172	2141	457
173	2153	445
174	2164	432
175	2174	420
176	2186	407
177	2198	395
178	2209	382
179	2221	370
180	2233	357
181	2245	345
182	2256	332
183	2268	320
184	2280	308
185	2292	295
186	2303	283
187	2316	271
188	2327	258
189	2339	246
190	2350	233
191	2363	221
192	2375	209
193	2390	197
194	2404	184
195	2416	172
196	2430	160
197	2442	148
198	2458	135
199	2472	123
200	2484	111
201	2496	98
202	2510	86
203	2522	74
204	2533	61
205	2545	49
206	2557	37
207	2568	24
208	2580	12
209	2591	0
